Name/Username    Host                 Mask             Port          Status    
iax_sipout_peer  192.168.2.3     (S)  255.255.255.255  4569          Unmonitored
iax_internal     (Unspecified)   (D)  255.255.255.255  0             Unmonitored
iax_aheeva       (Unspecified)   (D)  255.255.255.255  0             Unmonitored
iax_sbr          (Unspecified)   (D)  255.255.255.255  0             Unmonitored
agentbarge       (Unspecified)   (D)  255.255.255.255  0             Unmonitored
ir               (Unspecified)   (D)  255.255.255.255  0             Unmonitored
iax_speex        (Unspecified)   (D)  255.255.255.255  0             Unmonitored
5140             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2035             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2034             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2033             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2032             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2031             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2030             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2029             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2028             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2027             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2026             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2025             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2024             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2023             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2022             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2021             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2020             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2019             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2018             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2017             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2016             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2015             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2014             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2013             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2012             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2011             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2010             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2009             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2008             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2007             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2006             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2005             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2004             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2003             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2002             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2001             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
2000             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1899             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1898             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1897             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1896             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1895             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1894             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1893             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1892             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1891             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1890             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1889             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1888             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1887             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1886             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1885             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1884             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1883             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1882             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1881             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1880             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1879             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1878             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1877             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1876             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1875             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1874             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1873             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1872             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1871             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1870             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1869             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1868             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1867             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1866             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1865             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1864             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1863             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1862             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1861             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1860             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1859             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1858             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1857             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1856             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1855             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1854             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1853             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1852             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1851             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1850             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1849             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1848             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1847             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1846             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1845             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1844             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1843             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1842             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1841             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1840             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1839             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1838             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1837             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1836             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1835             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1834             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1833             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1832             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1831             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1830             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1829             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1828             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1827             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1826             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
1825             (Unspecified)   (D)  255.255.255.255  0             Unmonitored
