ID	CANDIDATO	LISTA	PARTIDO POLITICO
1	ALEJANDRO VANEGAS CORTAZAR	10-17 (PRE/PS-FA)	ALIANZA PRE-PSFA
2	ALEXANDRA HERRERA	94 (MAP)	MOVIMIENTO ALIANZA POPULAR
3	ALFREDO PACHECO YUS	55 (MNCS)	MOVIMIENTO NACIONAL POR LA CONCERTACION SOCIAL
4	ALFREDO PIN GUERRERO	71 (MLID)	MOVIMIENTO LEALTAD IGUALDAD Y DESARROLLO
5	ANDREA DEL POZO GARAY	5 (UDC)	UNION DEMOCRATA CRISTIANA
6	ANDREA GILER CARRERA	45-53-39 (MCSXXI/MAE/MTF)	ALIANZA MCSXXI/MAE/MTF
7	ANGEL TAPIA VELEZ	68 (MASA)	MOVIMIENTO AGRUPACIONES SOCIALES AUTOCTONAS
8	ANNABELLA AZIN	7 (PRIAN)	PARTIDO RENOVADOR INSTITUCIONAL ACCION NACIONAL
9	ARACELLY MORENO SILVA	15 (MPD)	PARTIDO MOVIMIENTO POPULAR DEMOCRATICO
10	ARTURO SANTOS DITTO	94 (MAP)	MOVIMIENTO ALIANZA POPULAR
11	ASTRID ILEANA ACHI DAVILA	29 (RED)	MOVIMIENTO RED ETICA Y DEMOCRACIA
12	BETTY CUEVA RONQUILLO	62 (UCN)	MOVIMIENTO UNION DEL CAMBIO NACIONALISTA
13	CARLA GARIBALDI CONFORME	10-17 (PRE/PS-FA)	ALIANZA PRE-PSFA
14	CARLOS VELASCO COLOMA	11 (PL)	PARTIDO LIBERTAD
15	CECILIA ANDRADE VALENCIA	3 (PSP)	PARTIDO SOCIEDAD PATRIOTICA
16	CESAR QUINTERO	11 (PL)	PARTIDO LIBERTAD
17	CESAR WILFRIDO CARDENAS R	85 (FSC)	FRENTE SOCIAL CONSTITUYENTE
18	CLARKENT MACKAY	73 (VOZ)	MOVIMIENTO VOZ CIUDADANA
19	CRISTINA REYES HIDALGO	6 (PSC)	PARTIDO SOCIAL CRISTIANO
20	DALTON BUSTAMANTE	94 (MAP)	MOVIMIENTO ALIANZA POPULAR
21	DIANA ACOSTA JARAMILLO	35 (MPAIS)	MOVIMIENTO PATRIA ALTIVA Y SOBERANA
22	DILIA SAVERIO	73 (VOZ)	MOVIMIENTO VOZ CIUDADANA
23	DIOSELINA TORAL ZALAMEA	85 (FSC)	FRENTE SOCIAL CONSTITUYENTE
24	DIXON AVILES M	40 (MIJS)	MOVIMIENTO INDEPENDIENTE JUSTO Y SOLIDARIO
25	ECUADOR SANTACRUZ VIVANCO	12 (ID)	PARTIDO IZQUIERDA DEMOCRATICA
26	EDISON CARRERA CAZAR	45-53-39 (MCSXXI/MAE/MTF)	ALIANZA MCSXXI/MAE/MTF
27	EDUARDO MARURI MIRANDA	41 (UNO)	"UNA NUEVA OPCION, UNO"
28	EFREN ROCA ALVAREZ	63 (MCHP)	MOVIMIENTO CIUDADANO HONESTIDAD Y PATRIOTISMO
29	ELIANA RIVAS ALAVA	27 (MHN)	MOVIMIENTO HONRADEZ NACIONAL
30	ENRIQUE RODRIGUEZ BOWEN	27 (MHN)	MOVIMIENTO HONRADEZ NACIONAL
31	ESTHELA FLOR CAJAS RIZZO	42 (MILC)	MOVIMIENTO INDEPENDIENTE LAICOS COMPROMETIDOS
32	EVELYN LAINEZ S	40 (MIJS)	MOVIMIENTO INDEPENDIENTE JUSTO Y SOLIDARIO
33	FADUA AUCAR DACCACH	38 (MBERP)	MOVIMIENTO BLANCO ECUATORIANO POR LA REIVINDICACION DE LOS POBRES
34	FEDERICO WEBER SUAREZ	152 (MFE)	MOVIMIENTO FUERZA ECUATORIANA
35	FEDERICO ZUÑIGA COELLO	27 (MHN)	MOVIMIENTO HONRADEZ NACIONAL
36	FELIPE BOCCA RUIZ	5 (UDC)	UNION DEMOCRATA CRISTIANA
37	FRANCISCO CEDILLO LARROSA	151 (MITS)	MOVIMIENTO DE INTEGRACION Y TRANSFORMACION SOCIAL
38	FRANCISCO GARCIA CARDENAS	31 (MANA)	MOVIMIENTO DE ACUERDO NACIONAL
39	FRANCISCO PLAZA BOHORQUEZ	110 (MGSS)	MOVIMIENTO GREMIAL DEL SECTOR SALUD
40	FREDDY EDUARDO VIEJO GONZALEZ	55 (MNCS)	MOVIMIENTO NACIONAL POR LA CONCERTACION SOCIAL
41	GABRIEL PIN GUERRERO	71 (MLID)	MOVIMIENTO LEALTAD IGUALDAD Y DESARROLLO
42	GALO CABANILLA GUERRA	73 (VOZ)	MOVIMIENTO VOZ CIUDADANA
43	GINA INES VALDIVIESO RIVADENEIRA	55 (MNCS)	MOVIMIENTO NACIONAL POR LA CONCERTACION SOCIAL
44	GUSTAVO DARQUEA DARQUEA	35 (MPAIS)	MOVIMIENTO PATRIA ALTIVA Y SOBERANA
45	GUSTAVO PACHECO	10-17 (PRE/PS-FA)	ALIANZA PRE-PSFA
46	HENRRY NAVARRO AGUILLON	82 (MARCA)	MOVIMIENTO DE ACCION RENOVADOR DE CIUDADANOS ALTIVOS
47	HENRY SUAREZ	25 (MCN)	MOVIMIENTO CONCILIACION NACIONAL
48	ISABEL MARIA SEGARRA IBARRA	66 (MPEA)	MOVIMIENTO POPULAR ELOY ALFARO
49	ISIDRO ARNALDO PLAZA COBOS	66 (MPEA)	MOVIMIENTO POPULAR ELOY ALFARO
50	ISRAEL MALDONADO YEPEZ	38 (MBERP)	MOVIMIENTO BLANCO ECUATORIANO POR LA REIVINDICACION DE LOS POBRES
51	JAVIER CARDENAS CHILAN	31 (MANA)	MOVIMIENTO DE ACUERDO NACIONAL
52	JENNY MENOSCAL MERCHAN	12 (ID)	PARTIDO IZQUIERDA DEMOCRATICA
53	JORGE DELGADO	5 (UDC)	UNION DEMOCRATA CRISTIANA
54	JORGE ENRIQUE GARCIA LOPEZ	38 (MBERP)	MOVIMIENTO BLANCO ECUATORIANO POR LA REIVINDICACION DE LOS POBRES
55	JORGE GONZALEZ NARVAEZ	62 (UCN)	MOVIMIENTO UNION DEL CAMBIO NACIONALISTA
56	JORGE ORTEGA TAPIA	29 (RED)	MOVIMIENTO RED ETICA Y DEMOCRACIA
57	JOSE PILEGGI	51 (MCND)	MOVIMIENTO CONCERTACION NACIONAL DEMOCRATICA
58	JOSE TOMAS COELLO ACUNA	66 (MPEA)	MOVIMIENTO POPULAR ELOY ALFARO
59	JUAN CERVANTES GOMEZ	15 (MPD)	PARTIDO MOVIMIENTO POPULAR DEMOCRATICO
60	JUAN FABARA NARANJO	6 (PSC)	PARTIDO SOCIAL CRISTIANO
61	KENNET FRANCIS MARTINEZ	50 (MIPD)	MOVIMIENTO INDEPENDIENTE POLO DEMOCRATICO
62	KENNETH CARRERA CAZAR	45-53-39 (MCSXXI/MAE/MTF)	ALIANZA MCSXXI/MAE/MTF
63	LENIN HURTADO ANGULO	15 (MPD)	PARTIDO MOVIMIENTO POPULAR DEMOCRATICO
64	LEONIDAS PLAZA VERDUGA	3 (PSP)	PARTIDO SOCIEDAD PATRIOTICA
65	LUIS FERRUCCIO VILLOTA PAEZ	25 (MCN)	MOVIMIENTO CONCILIACION NACIONAL
66	LUIS FRANCISCO GARCIA BRAND	68 (MASA)	MOVIMIENTO AGRUPACIONES SOCIALES AUTOCTONAS
67	LUIS GARCIA ALVARADO	51 (MCND)	MOVIMIENTO CONCERTACION NACIONAL DEMOCRATICA
68	LUIS GOMEZ CACERES	61 (MIFG)	MOVIMIENTO INDEPENDIENTE FUERZA GUAYAS
69	MAGALI VILLAMAR CANO	155 (MTM)	MOVIMIENTO TRIUNFO MIL
70	MARIA CHANCAY	25 (MCN)	MOVIMIENTO CONCILIACION NACIONAL
71	MARIA CRISTINA KRONFLE GOMEZ	6 (PSC)	PARTIDO SOCIAL CRISTIANO
72	MARIA DE LOURDES QUEIROLO	41 (UNO)	"UNA NUEVA OPCION, UNO"
73	MARIA EUGENIA PAUTA ESPINEL	42 (MILC)	MOVIMIENTO INDEPENDIENTE LAICOS COMPROMETIDOS
74	MARIA SIMO VALDEZ	152 (MFE)	MOVIMIENTO FUERZA ECUATORIANA
75	MARTHA CAMPOVERDE V	40 (MIJS)	MOVIMIENTO INDEPENDIENTE JUSTO Y SOLIDARIO
76	MARTHA ROLDOS BUCARAM	29 (RED)	MOVIMIENTO RED ETICA Y DEMOCRACIA
77	MONICA MIREYA MEREGILDO GILER	50 (MIPD)	MOVIMIENTO INDEPENDIENTE POLO DEMOCRATICO
78	MONICA TORRES NARANJO	31 (MANA)	MOVIMIENTO DE ACUERDO NACIONAL
79	NANCY GUTIERREZ ESPINOZA	11 (PL)	PARTIDO LIBERTAD
80	NAPOLEON GOMEZ REAL	62 (UCN)	MOVIMIENTO UNION DEL CAMBIO NACIONALISTA
81	NORA ARMIDA AGUILAR MARTILLO	82 (MARCA)	MOVIMIENTO DE ACCION RENOVADOR DE CIUDADANOS ALTIVOS
82	NORMA GARCIA LEGARDA	110 (MGSS)	MOVIMIENTO GREMIAL DEL SECTOR SALUD
83	NURIA BUTINA MARTINEZ	32 (MPC)	MOVIMIENTO PODER CIUDADANO
84	ORLANDO ALVAREZ MORANTE	151 (MITS)	MOVIMIENTO DE INTEGRACION Y TRANSFORMACION SOCIAL
85	OSCAR UGARTE ORDOÑEZ	85 (FSC)	FRENTE SOCIAL CONSTITUYENTE
86	PATRICIA ORDEÑANA	51 (MCND)	MOVIMIENTO CONCERTACION NACIONAL DEMOCRATICA
87	PATRICIA PARRAGA PAZMINO	71 (MLID)	MOVIMIENTO LEALTAD IGUALDAD Y DESARROLLO
88	PATRICIO GREGORIO CABAL BRAVO	42 (MILC)	MOVIMIENTO INDEPENDIENTE LAICOS COMPROMETIDOS
89	PEDRO FABRICIO ZANZZI DIAZ	32 (MPC)	MOVIMIENTO PODER CIUDADANO
90	PIERINA CORREA DELGADO	63 (MCHP)	MOVIMIENTO CIUDADANO HONESTIDAD Y PATRIOTISMO
91	RAFAEL ESTEVES MONCAYO	3 (PSP)	PARTIDO SOCIEDAD PATRIOTICA
92	RAFAEL SANTELICES PINTADO	110 (MGSS)	MOVIMIENTO GREMIAL DEL SECTOR SALUD
93	RAUL LEDESMA HUERTA	152 (MFE)	MOVIMIENTO FUERZA ECUATORIANA
94	ROBERTO ANTONIO GILBERT FEBRES CORDERO	61 (MIFG)	MOVIMIENTO INDEPENDIENTE FUERZA GUAYAS
95	ROLANDO PANCHANA FARRA	35 (MPAIS)	MOVIMIENTO PATRIA ALTIVA Y SOBERANA
96	SANDRA JACQUELINE PEREZ	68 (MASA)	MOVIMIENTO AGRUPACIONES SOCIALES AUTOCTONAS
97	SILVIA PIEDRA MORALES	151 (MITS)	MOVIMIENTO DE INTEGRACION Y TRANSFORMACION SOCIAL
98	SUSANA LOZADA ELIZALDE	63 (MCHP)	MOVIMIENTO CIUDADANO HONESTIDAD Y PATRIOTISMO
99	TARYN ALMEIDA	7 (PRIAN)	PARTIDO RENOVADOR INSTITUCIONAL ACCION NACIONAL
100	TEDDY GUSTAVO TAMA AGUIRRE	50 (MIPD)	MOVIMIENTO INDEPENDIENTE POLO DEMOCRATICO
101	TITO ZAMBRANO ALCIVAR	155 (MTM)	MOVIMIENTO TRIUNFO MIL
102	TONY ESTACIO VALENCIA	155 (MTM)	MOVIMIENTO TRIUNFO MIL
103	VICTOR HUGO CARRILLO PEREZ	82 (MARCA)	MOVIMIENTO DE ACCION RENOVADOR DE CIUDADANOS ALTIVOS
104	VICTOR VALLEJO MUNOZ	12 (ID)	PARTIDO IZQUIERDA DEMOCRATICA
105	WILLIAM SANCHEZ AVEIGA	32 (MPC)	MOVIMIENTO PODER CIUDADANO
106	XAVIER CASTRO MUNOZ	41 (UNO)	"UNA NUEVA OPCION, UNO"
107	XAVIER LEDESMA GINATTA	7 (PRIAN)	PARTIDO RENOVADOR INSTITUCIONAL ACCION NACIONAL
108	ZORAYDA FIGUEROA AGUIAR	61 (MIFG)	MOVIMIENTO INDEPENDIENTE FUERZA GUAYAS
